id,name,artistName,desc,cover,publishTime
14725115,初心到底,洪嘉全,洪嘉全《初心到底》MV 全球首发，为热爱坚守初心到底，梦想即使遥远遥不可及也不要轻易放弃，你要相信努力会创造奇迹，前路纵然是布满荆棘勇往直前。,http://p1.music.126.net/u1qBlOAbNBmBd8Ng8oIHbA==/109951169638577138.jpg,2024-06-02
14719419,向阳而生（日出live版）,华晨宇,,http://p1.music.126.net/9a8aZvngEr3HpCPCaX-c4A==/109951169561305449.jpg,2024-05-04
14720505,SHUFFLE,张艺兴,逃离城市的喧嚣，奔赴清凉的海岛。,http://p1.music.126.net/7wsrD0ZRiLw4vzAxcX1Tjg==/109951169593969441.jpg,2024-05-21
14726450,无良道长,连麻Swimming,,http://p1.music.126.net/IJoVrVlt2mheM2N8xcIc2g==/109951169645598848.jpg,2024-06-01
14718435,那些我尚未知道的美丽,华晨宇,,http://p1.music.126.net/EDRAklfw5xr3TBwSKwEZ4g==/109951169565098995.jpg,2024-05-06
14704314,落 (花开花落日升日没),唐伯虎Annie,,http://p1.music.126.net/RYfdge7nzyrJT23PXgTl6A==/109951169440498380.jpg,2024-03-25
14718792,另一端,李荣浩,,http://p1.music.126.net/H9R7pPat0ge2MTJyIBK1bA==/109951169574427016.jpg,2024-05-13
14721806,哦（That'it）,连麻Swimming,,http://p1.music.126.net/UGPITZH0-Gbb6h_28mixvA==/109951169607493442.jpg,2024-05-20
14719032,称为,黄子弘凡,“如果要表达爱，就不能只是表达【爱】。”,http://p1.music.126.net/PjyJ52CDgdTLKJ53sztsEw==/109951169578398408.jpg,2024-05-20
14716087,末路狂花钱（电影《末路狂花钱》同名主题曲）,宝石Gem,,http://p1.music.126.net/AS2q2aL3gU0GBndUEs0JLA==/109951169548156076.jpg,2024-05-01
14711872,蜃楼,周深,歌手周深，细细打磨第二张个人专辑《反深代词》，首波先行曲《蜃楼》MV正式上线！导演Damo Yang跨刀，以软科幻手法和风格强烈的视觉语言，用未来宏观场景下的微小的人物故事，来探讨众生心底如影随形的执念。,http://p1.music.126.net/fzNiMOYsiCR6gH8TlypjyQ==/109951169501512324.jpg,2024-04-16
14724248,月光,于适,《我的阿勒泰》是由北京爱奇艺科技有限公司出品，上海儒意影视制作有限公司、上海他城影业有限公司联合出品，滕丛丛、彭奕宁编剧，滕丛丛执导，马伊琍、周依然、于适领衔主演，蒋奇明、闫佩伦特别出演，黄晓娟、阿力木江·吐鲁逊拜克、阿丽玛、海拉提·哈木主演的迷你剧。,http://p1.music.126.net/LDfzrEGdwGuQr8nTuwfnqQ==/109951169617763493.jpg,2024-05-24
